user_id,y_true,predicted_probability,top_driver_1,top_driver_1_shap,top_driver_2,top_driver_2_shap,top_driver_3,top_driver_3_shap,top_driver_4,top_driver_4_shap,top_driver_5,top_driver_5_shap
U002018,0,0.0003296733775641769,numeric__watch_time_last_30d,-2.4380407333374023,numeric__completion_rate,-0.8293379545211792,numeric__sessions_last_30d,-0.6207048296928406,numeric__skip_rate,-0.6089761853218079,numeric__feature_usage_score,-0.5831460952758789
U008643,0,0.0003708910080604255,numeric__watch_time_last_30d,-2.471824884414673,numeric__completion_rate,-1.1075983047485352,numeric__sessions_last_30d,-0.627592921257019,numeric__feature_usage_score,-0.4644090533256531,numeric__active_days_last_30d,-0.45056819915771484
U006455,0,8.403401443501934e-05,numeric__watch_time_last_30d,-2.324293851852417,numeric__completion_rate,-1.1410396099090576,numeric__content_diversity_score,-1.031895637512207,numeric__sessions_last_30d,-0.7047123312950134,numeric__skip_rate,-0.49388793110847473
U006868,0,0.00028646382270380855,numeric__watch_time_last_30d,-2.493844509124756,numeric__completion_rate,-0.9863406419754028,numeric__skip_rate,-0.7238397002220154,numeric__sessions_last_30d,-0.4966697692871094,numeric__avg_session_duration_min,-0.3623817563056946
U001093,0,0.19010001420974731,numeric__days_since_last_session,-0.4632045328617096,numeric__content_diversity_score,0.37133297324180603,numeric__watch_time_last_30d,0.31710949540138245,numeric__watchlist_additions_last_30d,-0.24059097468852997,numeric__completion_rate,0.2045530080795288
U000994,0,0.06034521013498306,numeric__watch_time_last_30d,-0.7734949588775635,numeric__sessions_last_30d,0.39526739716529846,numeric__avg_session_duration_min,-0.26206308603286743,numeric__sessions_per_active_day,-0.2598740756511688,numeric__active_days_last_30d,-0.25980043411254883
U003686,1,0.8071255683898926,numeric__sessions_last_30d,0.5393238663673401,numeric__completion_rate,0.4901587665081024,numeric__skip_rate,0.48386529088020325,numeric__watch_time_last_30d,0.4777231216430664,numeric__content_diversity_score,0.3657956123352051
U005217,0,0.00011988734331680462,numeric__watch_time_last_30d,-2.4113845825195312,numeric__completion_rate,-0.9855803847312927,numeric__content_diversity_score,-0.9439051151275635,numeric__skip_rate,-0.726822018623352,numeric__sessions_last_30d,-0.5175688862800598
U003861,0,0.006923074834048748,numeric__completion_rate,-0.9522213935852051,numeric__watch_time_last_30d,-0.8060334324836731,numeric__skip_rate,-0.7480671405792236,numeric__watchlist_additions_last_30d,-0.4297294020652771,numeric__sessions_last_30d,-0.4147353768348694
U008655,0,0.00022605752747040242,numeric__watch_time_last_30d,-2.3973097801208496,numeric__content_diversity_score,-0.9451260566711426,numeric__sessions_last_30d,-0.615546464920044,numeric__watchlist_additions_last_30d,-0.486160010099411,numeric__completion_rate,-0.46289190649986267
U002116,0,0.003768815891817212,numeric__watch_time_last_30d,-2.4592971801757812,numeric__sessions_last_30d,-0.6420179009437561,numeric__active_days_last_30d,-0.5749973058700562,numeric__watchlist_additions_last_30d,-0.3668553829193115,numeric__days_since_last_session,-0.3017643094062805
U004114,0,0.038309209048748016,numeric__watchlist_additions_last_30d,-0.49967852234840393,numeric__search_activity_last_30d,-0.44054028391838074,numeric__content_diversity_score,-0.3398681879043579,numeric__completion_rate,0.321528822183609,numeric__sessions_last_30d,0.32131585478782654
U001877,0,0.04840156435966492,numeric__days_since_last_session,1.897151231765747,numeric__sessions_last_30d,-0.7935160398483276,numeric__watch_time_last_30d,-0.6845995187759399,numeric__search_activity_last_30d,-0.47324422001838684,numeric__skip_rate,-0.4373646378517151
U007271,0,0.000333939038682729,numeric__watch_time_last_30d,-2.4000067710876465,numeric__content_diversity_score,-1.0362545251846313,numeric__completion_rate,-0.7494722008705139,numeric__sessions_last_30d,-0.6817060708999634,numeric__days_since_last_session,-0.49842217564582825
U000516,0,8.61237567733042e-05,numeric__watch_time_last_30d,-2.4491982460021973,numeric__content_diversity_score,-0.9457499980926514,numeric__completion_rate,-0.8795570135116577,numeric__skip_rate,-0.6687729358673096,numeric__sessions_last_30d,-0.5435243844985962
U006285,0,0.007312871981412172,numeric__watch_time_last_30d,-2.5716006755828857,numeric__sessions_last_30d,-0.6391491293907166,numeric__active_days_last_30d,-0.49559685587882996,numeric__days_since_last_session,0.3134344816207886,numeric__feature_usage_score,0.2651262581348419
U008995,0,0.0019834660924971104,numeric__watch_time_last_30d,-2.405088424682617,numeric__completion_rate,-0.704806387424469,numeric__watchlist_additions_last_30d,-0.5653803944587708,numeric__days_since_last_session,-0.48062586784362793,numeric__sessions_last_30d,-0.4330984950065613
