user_id,y_true,predicted_probability,predicted_label_050,model_name,split,top_driver_1,top_driver_1_shap,top_driver_2,top_driver_2_shap,top_driver_3,top_driver_3_shap,plan,num_services,risk_tier,estimated_monthly_value,revenue_at_risk,priority_score,driver_category,recommended_playbook
U000379,1,0.9728715419769288,1,xgboost,test,numeric__days_since_last_session,3.3253862857818604,numeric__watch_time_last_30d,1.2258398532867432,numeric__sessions_last_30d,0.7156288027763367,premium,3,critical,25,24.32178854942322,24.32178854942322,engagement_decline,commercial_retention_offer
U002045,1,0.8841150999069214,1,xgboost,test,numeric__watch_time_last_30d,1.3297195434570312,numeric__days_since_last_session,0.8198192715644836,numeric__sessions_last_30d,0.5550143122673035,premium,4,critical,26,22.986992597579956,22.986992597579956,engagement_decline,commercial_retention_offer
U008752,1,0.9157207012176514,1,xgboost,test,numeric__days_since_last_session,1.7060528993606567,numeric__watch_time_last_30d,0.7298694849014282,numeric__sessions_last_30d,0.6259253025054932,premium,3,critical,25,22.893017530441284,22.893017530441284,engagement_decline,commercial_retention_offer
U005944,1,0.9478936791419984,1,xgboost,test,numeric__watch_time_last_30d,1.6789182424545288,numeric__days_since_last_session,1.2887687683105469,numeric__sessions_last_30d,0.7588725090026855,premium,2,critical,24,22.749448299407963,22.749448299407963,engagement_decline,commercial_retention_offer
U009307,1,0.9350140690803528,1,xgboost,test,numeric__watch_time_last_30d,1.3374438285827637,numeric__days_since_last_session,0.8300850987434387,numeric__sessions_last_30d,0.530734121799469,premium,2,critical,24,22.440337657928467,22.440337657928467,engagement_decline,commercial_retention_offer
U004919,1,0.9701941609382628,1,xgboost,test,numeric__days_since_last_session,3.194713592529297,numeric__watch_time_last_30d,0.7636523246765137,numeric__feature_usage_score,0.5146194696426392,premium,1,critical,23,22.314465701580044,22.314465701580044,engagement_decline,commercial_retention_offer
U007117,1,0.9053363800048828,1,xgboost,test,numeric__days_since_last_session,1.948409080505371,numeric__completion_rate,0.5322651863098145,numeric__avg_session_duration_min,0.4841440916061401,premium,2,critical,24,21.728073120117188,21.728073120117188,consumption_quality,commercial_retention_offer
U000426,1,0.8616414070129395,1,xgboost,test,numeric__days_since_last_session,1.302497148513794,numeric__watch_time_last_30d,0.6928121447563171,numeric__sessions_last_30d,0.6891589164733887,premium,3,critical,25,21.541035175323486,21.541035175323486,engagement_decline,commercial_retention_offer
U008614,1,0.8942548632621765,1,xgboost,test,numeric__watch_time_last_30d,0.9043310880661012,numeric__completion_rate,0.826625645160675,numeric__skip_rate,0.6200175285339355,premium,2,critical,24,21.462116718292236,21.462116718292236,consumption_quality,commercial_retention_offer
U000146,1,0.8564441204071045,1,xgboost,test,numeric__watch_time_last_30d,1.1139864921569824,numeric__days_since_last_session,0.9806696772575378,numeric__sessions_last_30d,0.7430064082145691,premium,3,critical,25,21.411103010177612,21.411103010177612,engagement_decline,commercial_retention_offer
U005473,0,0.8816242218017578,1,xgboost,test,numeric__completion_rate,0.8924321532249451,numeric__sessions_last_30d,0.6466731429100037,numeric__watch_time_last_30d,0.6270058155059814,premium,2,critical,24,21.158981323242188,21.158981323242188,engagement_decline,commercial_retention_offer
U009523,1,0.917547881603241,1,xgboost,test,numeric__days_since_last_session,3.3098130226135254,numeric__content_diversity_score,0.4025630056858063,numeric__feature_usage_score,-0.3115227520465851,premium,1,critical,23,21.103601276874542,21.103601276874542,discovery_weakness,commercial_retention_offer
U007007,1,0.8705037236213684,1,xgboost,test,numeric__days_since_last_session,1.36760151386261,numeric__watch_time_last_30d,0.8832546472549438,numeric__content_diversity_score,0.4939596056938171,premium,2,critical,24,20.892089366912842,20.892089366912842,engagement_decline,commercial_retention_offer
U004940,1,0.8268513083457947,1,xgboost,test,numeric__days_since_last_session,1.03294575214386,numeric__watch_time_last_30d,0.674411952495575,numeric__sessions_last_30d,0.5791879892349243,premium,3,critical,25,20.671282708644867,20.671282708644867,engagement_decline,commercial_retention_offer
U007460,1,0.9643267393112184,1,xgboost,test,numeric__watch_time_last_30d,1.210116982460022,numeric__completion_rate,0.7877516150474548,numeric__skip_rate,0.6286056637763977,family,3,critical,21,20.250861525535587,20.250861525535587,consumption_quality,commercial_retention_offer
U004368,1,0.84348464012146,1,xgboost,test,numeric__days_since_last_session,2.213098526000977,numeric__sessions_last_30d,0.4386539161205292,numeric__watch_time_last_30d,0.3873177170753479,premium,2,critical,24,20.24363136291504,20.24363136291504,engagement_decline,commercial_retention_offer
U000728,1,0.838860809803009,1,xgboost,test,numeric__days_since_last_session,1.4236009120941162,numeric__sessions_last_30d,0.736265242099762,numeric__watch_time_last_30d,0.5632616281509399,premium,2,critical,24,20.132659435272217,20.132659435272217,engagement_decline,commercial_retention_offer
U005345,0,0.8014675378799438,1,xgboost,test,numeric__completion_rate,1.1167680025100708,numeric__watch_time_last_30d,0.9004758596420288,numeric__skip_rate,0.8049777150154114,premium,3,critical,25,20.036688446998596,20.036688446998596,consumption_quality,commercial_retention_offer
